,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,38,1976-01-01T00:00:00,1978-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output038,80.73,,,Dhruv Bhagtani,2021-06-21T08:46:18,24180824,0,[],normal,12292.75,3.3697222222222223,6142.170913132695,1.6837086753305974,0.7463888888888892,71675.90767984882,11.66947463584857,2058.2400000002235,1824,1455,361,0.101,1240.818896,7465.58,1256.96,"[48, 40]",roundrobin,30,27,1350,80,1,cbfcd7eab3e4acd05d952f3439f8dc492b06f6b5,2021-06-21 05:24:15 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml",['2021-06-21 05:24:14: Run 38'],1350,84816
,39,1978-01-01T00:00:00,1980-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output039,80.73,,,Dhruv Bhagtani,2021-06-21T12:03:24,24182378,0,[],normal,11981.65,3.2844444444444445,5994.92830479452,1.6433470319634704,0.0005555555555556424,87537.16894977169,14.601870864704539,2048.0,1824,1455,361,0.101,1213.002844,7211.22,1259.15,"[48, 40]",roundrobin,30,27,1350,80,1,ed971135f15e8f1d1363a9d0704bfa1cf1dc696c,2021-06-21 08:46:27 +1000,manifests/restart.yaml,['2021-06-21 08:46:27: Run 39'],1350,87048
,40,1980-01-01T00:00:00,1982-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output040,80.726,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart040,5.017,Dhruv Bhagtani,2021-06-21T16:29:26,24198360,0,[],normal,12020.16,3.295,6005.9691381668945,1.646373119015048,1.1388888888888893,65063.38955018168,10.833120859165774,2058.2400000002235,1824,1455,361,0.101,1216.930281,7212.6,1259.44,"[48, 40]",roundrobin,30,27,1350,80,1,81fa58b663371840a9eb37dd75b93c3fe7000b46,2021-06-21 13:11:54 +1000,"config.yaml, manifests/restart.yaml",['2021-06-21 13:11:54: Run 40'],1350,89280
,42,1984-01-01T00:00:00,1986-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output042,104.589,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart042,5.017,dhruvbhagtani,2022-01-23T19:07:10,34127075,11,"[24217450, 24226951, 24237129, 24243156, 24253255, 24287176, 24306815, 26346730, 34114761, 34126963, 34127039]",normal,12073.87,3.3097222222222222,6032.805769493844,1.6537291951664388,5183.319166666666,55.869214128809006,0.009260900526803544,2078.7199999997392,1824,1455,361,0.101,1222.930191,7270.01,1268.25,"[48, 40]",roundrobin,30,27,1350,80,1,d62554c1c9d80bbac801affe5c9e5c3cf33c7db7,2022-01-23 15:48:45 +1100,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, run_summary_home_156_db6174_access-om2_025deg_jra55_ryf_param_kpp3.csv, sync_data.sh","['2021-06-21 16:31:24: Run 41', '2021-06-21 19:51:33: Run 42', '2021-06-21 23:16:34: Run 43', '2021-06-22 02:36:04: Run 44', '2021-06-22 05:53:42: Run 45', '2021-06-22 09:10:57: Run 46', '2021-06-22 12:34:35: Run 47', '2021-06-22 16:35:11: Run 48', '2021-06-22 21:19:34: Run 49', '2021-07-30 19:34:18: Run 49', 'update run summary', '2022-01-23 15:48:45: Run 42']",1350,93744
,43,1986-01-01T00:00:00,1988-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output043,104.575,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart043,5.017,dhruvbhagtani,2022-01-23T22:24:42,34134186,0,[],normal,12002.93,3.290277777777778,6005.575592465753,1.646265696347032,0.0019444444444443043,87500.26594667567,14.569838410900768,2068.480000000447,1824,1455,361,0.096,1154.632181,7262.1,1201.24,"[48, 40]",roundrobin,30,27,1350,80,1,f041b4734460a00349ca7979faa3b94e7a26ebb2,2022-01-23 19:07:31 +1100,"manifests/input.yaml, manifests/restart.yaml",['2022-01-23 19:07:31: Run 43'],1350,95976
,44,1988-01-01T00:00:00,1990-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output044,104.577,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart044,5.018,dhruvbhagtani,2022-01-24T11:52:26,34139791,1,[34136906],normal,12052.59,3.303888888888889,6022.1730471956225,1.650814523483812,10.158333333333333,21486.95477055134,3.5679736537224356,2058.2400000002235,1824,1455,361,0.101,1220.704548,7255.89,1267.14,"[48, 40]",roundrobin,30,27,1350,80,1,28ade98f2d9252e7322053656d102d1e93f16821,2022-01-23 22:24:59 +1100,manifests/restart.yaml,['2022-01-23 22:24:59: Run 44'],1350,98208
,45,1990-01-01T00:00:00,1992-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output045,104.587,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart045,5.018,Dhruv Bhagtani,2021-06-22T09:10:26,24247610,0,[],normal,11962.4,3.279166666666667,5985.296712328767,1.6407063356164384,-5189.979166666666,-55.35265197524437,-0.009248104920383754,2027.519999999553,1824,1455,361,0.101,1217.635932,7217.64,1262.85,"[48, 40]",roundrobin,30,27,1350,80,1,7d87d65adc64a68d0750c5649aba22a96208f737,2021-06-22 05:53:42 +1000,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, run_summary_home_156_db6174_access-om2_025deg_jra55_ryf_param_kpp3.csv, sync_data.sh",,1350,100440
,46,1992-01-01T00:00:00,1994-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output046,104.583,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart046,5.018,dhruvbhagtani,2022-01-24T18:33:21,34162142,9,"[24253255, 24287176, 24306815, 26346730, 34114761, 34126963, 34127039, 34136906, 34144238]",normal,12084.0,3.3125,6037.86730506156,1.6551171340629276,5190.069444444444,55.84337972874131,0.009248858397720609,2068.480000000447,1824,1455,361,0.102,1233.671868,7256.19,1278.17,"[48, 40]",roundrobin,30,27,1350,80,1,9be9ea849ec1c893d04811f7e077dccd81c597e1,2022-01-24 15:14:46 +1100,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, run_summary_home_156_db6174_access-om2_025deg_jra55_ryf_param_kpp3.csv, sync_data.sh","['2021-06-22 09:10:57: Run 46', '2021-06-22 12:34:35: Run 47', '2021-06-22 16:35:11: Run 48', '2021-06-22 21:19:34: Run 49', '2021-07-30 19:34:18: Run 49', 'update run summary', '2022-01-23 15:48:45: Run 42', '2022-01-23 19:07:31: Run 43', '2022-01-23 22:24:59: Run 44', '2022-01-24 11:52:44: Run 45', '2022-01-24 15:14:46: Run 46']",1350,102672
,47,1994-01-01T00:00:00,1996-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output047,104.589,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart047,5.019,Dhruv Bhagtani,2021-06-22T15:52:48,24267101,0,[],normal,12067.79,3.3080555555555557,6038.027804794521,1.6551606735159818,-5189.983888888889,-55.84057483188896,-0.009248148010770754,2058.2400000002235,1824,1455,361,0.098,1171.028551,7221.19,1214.81,"[48, 40]",roundrobin,30,27,1350,80,1,786081792b82437409bc6993b52f343674ee6cac,2021-06-22 12:34:35 +1000,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, run_summary_home_156_db6174_access-om2_025deg_jra55_ryf_param_kpp3.csv, sync_data.sh",,1350,104904
,48,1996-01-01T00:00:00,1998-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output048,104.592,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart048,5.019,dhruvbhagtani,2022-01-25T01:09:24,34177007,9,"[24287176, 24306815, 26346730, 34114761, 34126963, 34127039, 34136906, 34144238, 34170573]",normal,11971.52,3.2816666666666667,5981.665772913817,1.6397110123119016,5189.995,55.32470123229844,0.009249045889996024,2048.0,1824,1455,361,0.095,1140.707369,7253.67,1186.48,"[48, 40]",roundrobin,30,27,1350,80,1,07882aa3271d2e37d43cdac72c4bbf9f44558f28,2022-01-24 21:52:37 +1100,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml, run_summary_home_156_db6174_access-om2_025deg_jra55_ryf_param_kpp3.csv, sync_data.sh","['2021-06-22 16:35:11: Run 48', '2021-06-22 21:19:34: Run 49', '2021-07-30 19:34:18: Run 49', 'update run summary', '2022-01-23 15:48:45: Run 42', '2022-01-23 19:07:31: Run 43', '2022-01-23 22:24:59: Run 44', '2022-01-24 11:52:44: Run 45', '2022-01-24 15:14:46: Run 46', '2022-01-24 18:33:35: Run 47', '2022-01-24 21:52:37: Run 48']",1350,107136
,49,1998-01-01T00:00:00,2000-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output049,104.591,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart049,5.03,dhruvbhagtani,2022-01-25T04:26:57,34183873,0,[],normal,12001.92,3.29,6005.070246575342,1.646126712328767,0.0024999999999999467,87485.52164009112,14.568609199864666,2068.480000000447,1824,1455,361,0.096,1146.679808,7268.64,1192.98,"[48, 40]",roundrobin,30,27,1350,80,1,620f922c88fd8129c6fb5ac234e3e6bcd04eb076,2022-01-25 01:09:43 +1100,manifests/restart.yaml,['2022-01-25 01:09:43: Run 49'],1350,109368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
Total,920,,,,23376.0,,,2936.983,,60.213,,,824540137,52,,,414773.55000000005,113.6988888888889,207384.13803333766,56.848721590802604,5474.850277777778,1528574.5842231275,239.4491603717996,65658.88000000268,58368,46560,11552,3.023,39157.375278,254854.45000000004,40108.02,,,960,864,40140,2560,32,,,,,40140,2053440
Mean,28.75,,,0.5,730.5,,,91.78071875,,5.01775,,,25766879.28125,1.625,"[ 733223.125    733253.       733461.125    733881.78125  734258.90625
  734580.46875  734958.625    737971.375    738439.5625   739770.25
  740882.09375  741151.15625  741405.75     741509.03125  741631.125
  741788.65625  742091.34375  743584.03125  744231.       745433.375
  745544.28125  745804.6875   756795.3125   757092.21875  757410.28125
  757598.625    757914.21875  758974.25     759587.96875  823335.3125
 1066086.28125 1066467.59375 1066469.96875 1066778.3125   757914.21875
  758974.25     759587.96875  823335.3125  1066086.28125 1066467.59375
 1066469.96875 1066778.3125  1067007.4375   758974.25     759587.96875
  823335.3125  1066086.28125 1066467.59375 1066469.96875 1066778.3125
 1067007.4375  1067830.40625]",,12961.673437500001,3.5530902777777778,6480.754313541804,1.7765225497125816,176.60807347670254,49308.85755558476,7.72416646360644,2051.840000000084,1824.0,1455.0,361.0,0.09446874999999999,1223.6679774375,7964.2015625,1253.375625,44.0,,30.0,27.0,1254.375,80.0,1.0,,,,,1254.375,64170.0
Median,31.5,,,0.0,730.5,,,80.7745,,5.018,,,23834668.5,0.0,[],,12078.935000000001,3.311111111111111,6037.9475549280405,1.6551389037894548,0.9688888888888889,62039.81483679526,10.134498787839421,2058.2400000002235,1824.0,1455.0,361.0,0.0995,1221.8173695,7269.325000000001,1259.63,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,,1350.0,70308.0
Min,3,1906-01-01T00:00:00,1908-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output003,80.547,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart009,5.006,Dhruv Bhagtani,2021-06-06T11:11:41,23489248,0,[],normal,11962.4,3.279166666666667,5981.665772913817,1.6397110123119016,-5189.983888888889,-55.84057483188896,-0.009248148010770754,2017.2800000002608,1824,1455,361,0.068,1140.707369,7167.9,1182.25,"[48, 40]",roundrobin,30,27,900,80,1,07882aa3271d2e37d43cdac72c4bbf9f44558f28,2021-06-06 07:54:07 +1000,,"['2021-06-06 11:12:31: Run 4', '2021-06-06 14:30:54: Run 5', '2021-06-06 17:49:49: Run 6', '2021-06-06 21:07:51: Run 7']",900,6696
Max,49,1998-01-01T00:00:00,2000-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/156/db6174/access-om2/025deg_jra55_ryf_param_kpp3,/g/data/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/output049,243.724,/scratch/x77/db6174/access-om2/archive/025deg_jra55_ryf_param_kpp3/restart049,5.03,dhruvbhagtani,2022-01-25T04:26:57,34183873,11,[34136906],normal,17279.36,4.736666666666666,8634.444955479452,2.366897831050228,5190.069444444444,87537.16894977169,14.601870864704539,2078.7199999997392,1824,1455,361,0.107,1324.035324,10835.71,1330.22,"[48, 40]",roundrobin,30,27,1350,80,1,feeacb45ae3c75657e5b6d7464495d75fbbf83d4,2022-01-25 01:09:43 +1100,"manifests/restart.yaml, sync_data.sh",['2022-01-25 01:09:43: Run 49'],1350,109368
Std dev,13.948566234563321,,,0.8660254037844386,0.5,,,29.16121101227019,,0.005018714974971195,,,4035065.4205864742,2.9553976043842223,,,1781.3208167793105,0.4883005888145653,889.8598687556969,0.24393084790254832,2076.587508204762,34551.4784384169,5.53040872142677,13.240422954123368,0.0,0.0,0.0,0.010925842001305896,46.61878290369753,1294.9867883402067,37.6833438784216,4.0,,0.0,0.0,171.2625451609312,0.0,0.0,,,,,171.2625451609312,31133.199835545332
